date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:17	57729/57729	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Sep%202021%2011:12:17%20GMT	https://sites.google.com/view/nestivetails	C:/My%20Web%20Sites/NestiveTails%20Underground%20Site/sites.google.com/view/nestivetails.html	(from )
13:12:17	67/67	---MCZ	200	added ('OK')	text/plain	date:Sat,%2004%20Sep%202021%2011:12:18%20GMT	https://sites.google.com/robots.txt		(from )
13:12:18	12792/12792	---MC-	200	added ('OK')	application/javascript	date:Sat,%2004%20Sep%202021%2011:12:18%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/NestiveTails%20Underground%20Site/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/nestivetails)
13:12:18	813147/813147	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/level-header.png	C:/My%20Web%20Sites/NestiveTails%20Underground%20Site/ssl.gstatic.com/atari/images/level-header.png	(from https://sites.google.com/view/nestivetails)
13:12:19	57756/57756	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Sep%202021%2011:12:19%20GMT	https://sites.google.com/view/nestivetails/home	C:/My%20Web%20Sites/NestiveTails%20Underground%20Site/sites.google.com/view/nestivetails/home.html	(from https://sites.google.com/view/nestivetails)
13:12:19	65314/65314	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Sep%202021%2011:12:19%20GMT	https://sites.google.com/view/nestivetails/music	C:/My%20Web%20Sites/NestiveTails%20Underground%20Site/sites.google.com/view/nestivetails/music.html	(from https://sites.google.com/view/nestivetails)
13:12:19	60574/60574	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Sep%202021%2011:12:19%20GMT	https://sites.google.com/view/nestivetails/my-socials	C:/My%20Web%20Sites/NestiveTails%20Underground%20Site/sites.google.com/view/nestivetails/my-socials.html	(from https://sites.google.com/view/nestivetails)
13:12:20	66251/66251	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Sep%202021%2011:12:20%20GMT	https://sites.google.com/view/nestivetails/memes	C:/My%20Web%20Sites/NestiveTails%20Underground%20Site/sites.google.com/view/nestivetails/memes.html	(from https://sites.google.com/view/nestivetails)
13:12:20	61074/61074	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Sep%202021%2011:12:20%20GMT	https://sites.google.com/view/nestivetails/contact-me	C:/My%20Web%20Sites/NestiveTails%20Underground%20Site/sites.google.com/view/nestivetails/contact-me.html	(from https://sites.google.com/view/nestivetails)
13:12:20	67706/67706	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Sep%202021%2011:12:20%20GMT	https://sites.google.com/view/nestivetails/server-updates	C:/My%20Web%20Sites/NestiveTails%20Underground%20Site/sites.google.com/view/nestivetails/server-updates.html	(from https://sites.google.com/view/nestivetails)
13:12:21	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2004%20Sep%202021%2011:12:21%20GMT	https://sites.google.com/view/%22https://discord.com/widget?id=870318968961896469&theme=dark%22	C:/My%20Web%20Sites/NestiveTails%20Underground%20Site/sites.google.com/view/_https_/discord.com/widget.99247.delayed	(from https://sites.google.com/view/nestivetails)
13:12:21	51141/51141	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Sep%202021%2011:12:21%20GMT	https://sites.google.com/view/nestivetails/%22https://discord.com/widget?id=870318968961896469&theme=dark%22	C:/My%20Web%20Sites/NestiveTails%20Underground%20Site/sites.google.com/view/nestivetails/_https_/discord.com/widget.a9247.delayed	(from https://sites.google.com/view/nestivetails/home)
13:12:22	1258/1258	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:30:00%20GMT	https://www.google.com/images/icons/product/drive-32.png	C:/My%20Web%20Sites/NestiveTails%20Underground%20Site/www.google.com/images/icons/product/drive-32.png	(from https://sites.google.com/view/nestivetails/music)
